Id,Name,Filename,Order,Superorder,Family
0,Addax,Addax,Artiodactyla,Laurasiatheria,Bovidae
1,Agouti,Agouti1,Rodentia,Euarchontoglires,Dasyproctidae
2,Agouti,Agouti2,Rodentia,Euarchontoglires,Dasyproctidae
3,Armadillo,Armadillo,Xenarthra,Xenarthra,Chlamyphoridae
4,Artibeus Jamacien,ArtibeusJamacien,Chiroptera,Laurasiatheria,Phyllostomidae
5,Asellia,Asellia,Chiroptera,Laurasiatheria,Hipposideridae
6,Asian Otter,AsianOtter,Carnivora,Laurasiatheria,Mustelidae
7,Baboon,Baboon1,Primates,Euarchontoglires,Cercopithecidae
8,Baboon,Baboon2,Primates,Euarchontoglires,Cercopithecidae
9,Baboon,Baboon3,Primates,Euarchontoglires,Cercopithecidae
10,Baboon,Baboon4,Primates,Euarchontoglires,Cercopithecidae
11,Baboon,Baboon5,Primates,Euarchontoglires,Cercopithecidae
12,Bactrian Deer,BactrianDeer1,Artiodactyla,Laurasiatheria,Cervidae
13,Bactrian Deer,BactrianDeer2,Artiodactyla,Laurasiatheria,Cervidae
14,Battongia,Battongia1,Marsupialia,No placenta,Potoroidae
15,Battongia,Battongia2,Marsupialia,No placenta,Potoroidae
16,Blanford Fox,BlanfordFox,Carnivora,Laurasiatheria,Canidae
17,Blind Mole,BlindMole1,Rodentia,Euarchontoglires,Spalacidae
18,Blind Mole,BlindMole2,Rodentia,Euarchontoglires,Spalacidae
19,Bottle Nose Dolphin,BottleNoseDolphin,Artiodactyla,Laurasiatheria,Delphinidae
20,Brown Lemur,BrownLemur1,Primates,Euarchontoglires,Lemuridae
21,Brown Lemur,BrownLemur2,Primates,Euarchontoglires,Lemuridae
22,Brown Lemur,BrownLemur3,Primates,Euarchontoglires,Lemuridae
23,Capra Nubiana,CapraNubiana1,Artiodactyla,Laurasiatheria,Bovidae
24,Capra Nubiana,CapraNubiana2,Artiodactyla,Laurasiatheria,Bovidae
25,Capra Nubiana,CapraNubiana3,Artiodactyla,Laurasiatheria,Bovidae
26,Capra Nubiana,CapraNubiana4,Artiodactyla,Laurasiatheria,Bovidae
27,Capuchin,Capuchin1,Primates,Euarchontoglires,Cebidae
28,Capuchin,Capuchin2,Primates,Euarchontoglires,Cebidae
29,Capuchin,Capuchin3,Primates,Euarchontoglires,Cebidae
30,Capybara,Capybara,Rodentia,Euarchontoglires,Caviidae
31,Caracal,Caracal,Carnivora,Laurasiatheria,Felidae
32,Carollia Perspicilatta,CarolliaPerspicilatta1,Chiroptera,Laurasiatheria,Phyllostomidae
33,Carollia Perspicilatta,CarolliaPerspicilatta2,Chiroptera,Laurasiatheria,Phyllostomidae
34,Cat,Cat1,Carnivora,Laurasiatheria,Felidae
35,Cat,Cat2,Carnivora,Laurasiatheria,Felidae
36,Cat,Cat3,Carnivora,Laurasiatheria,Felidae
37,Cat,Cat4,Carnivora,Laurasiatheria,Felidae
38,Cat,Cat5,Carnivora,Laurasiatheria,Felidae
39,Cat,Cat6,Carnivora,Laurasiatheria,Felidae
40,Caucasian Squirrel,CaucasianSquirrel,Rodentia,Euarchontoglires,Sciuridae
